show_id,show_type_id,title,country,date_added,release_year,rating,description,duration_minutes,duration_seasons
1,1,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",90.0,
2,2,Blood & Water,South Africa,"September 24, 2021",2021,TV-MA,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",,2.0
3,2,Ganglands,,"September 24, 2021",2021,TV-MA,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,
4,2,Jailbirds New Orleans,,"September 24, 2021",2021,TV-MA,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,
5,2,Kota Factory,India,"September 24, 2021",2021,TV-MA,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2.0
6,2,Midnight Mass,,"September 24, 2021",2021,TV-MA,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,
7,1,My Little Pony: A New Generation,,"September 24, 2021",2021,PG,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",91.0,
8,1,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",125.0,
9,2,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",,9.0
10,1,The Starling,United States,"September 24, 2021",2021,PG-13,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,104.0,
11,2,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,TV-MA,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",,
12,2,Bangkok Breaking,,"September 23, 2021",2021,TV-MA,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",,
13,1,Je Suis Karl,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",127.0,
14,1,Confessions of an Invisible Girl,,"September 22, 2021",2021,TV-PG,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",91.0,
15,2,Crime Stories: India Detectives,,"September 22, 2021",2021,TV-MA,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,,
16,2,Dear White People,United States,"September 22, 2021",2021,TV-MA,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",,4.0
17,1,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,"September 22, 2021",2020,TV-MA,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",67.0,
18,2,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,,2.0
19,1,Intrusion,,"September 22, 2021",2021,TV-14,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",94.0,
20,2,Jaguar,,"September 22, 2021",2021,TV-MA,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",,
21,2,Monsters Inside: The 24 Faces of Billy Milligan,,"September 22, 2021",2021,TV-14,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",,
22,2,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",,5.0
23,1,Avvai Shanmughi,,"September 21, 2021",1996,TV-PG,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",161.0,
24,1,Go! Go! Cory Carson: Chrissy Takes the Wheel,,"September 21, 2021",2021,TV-Y,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",61.0,
25,1,Jeans,India,"September 21, 2021",1998,TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",166.0,
26,2,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",,2.0
27,1,Minsara Kanavu,,"September 21, 2021",1997,TV-PG,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,147.0,
28,1,Grown Ups,United States,"September 20, 2021",2010,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",103.0,
29,1,Dark Skies,United States,"September 19, 2021",2013,PG-13,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",97.0,
30,1,Paranoia,"United States, India, France","September 19, 2021",2013,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",106.0,
31,1,Ankahi Kahaniya,,"September 17, 2021",2021,TV-14,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",111.0,
32,2,Chicago Party Aunt,,"September 17, 2021",2021,TV-MA,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,,
33,2,Sex Education,United Kingdom,"September 17, 2021",2020,TV-MA,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",,3.0
34,2,Squid Game,,"September 17, 2021",2021,TV-MA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",,
35,2,Tayo and Little Wizards,,"September 17, 2021",2020,TV-Y7,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,,
36,1,The Father Who Moves Mountains,,"September 17, 2021",2021,TV-MA,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",110.0,
37,1,The Stronghold,,"September 17, 2021",2021,TV-MA,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",105.0,
38,2,Angry Birds,Finland,"September 16, 2021",2018,TV-Y7,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",,
39,1,Birth of the Dragon,"China, Canada, United States","September 16, 2021",2017,PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",96.0,
40,2,Chhota Bheem,India,"September 16, 2021",2021,TV-Y7,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",,3.0
41,2,He-Man and the Masters of the Universe,United States,"September 16, 2021",2021,TV-Y7,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,,
42,1,Jaws,United States,"September 16, 2021",1975,PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",124.0,
43,1,Jaws 2,United States,"September 16, 2021",1978,PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",116.0,
44,1,Jaws 3,United States,"September 16, 2021",1983,PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",98.0,
45,1,Jaws: The Revenge,United States,"September 16, 2021",1987,PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",91.0,
46,1,My Heroes Were Cowboys,,"September 16, 2021",2021,PG,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",23.0,
47,1,Safe House,"South Africa, United States, Japan","September 16, 2021",2012,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,115.0,
48,2,The Smart Money Woman,,"September 16, 2021",2020,TV-MA,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",,
49,1,Training Day,United States,"September 16, 2021",2001,R,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,122.0,
50,2,Castle and Castle,Nigeria,"September 15, 2021",2021,TV-MA,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",,2.0
51,2,Dharmakshetra,India,"September 15, 2021",2014,TV-PG,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",,
52,1,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,"September 15, 2021",2002,TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",99.0,
53,1,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,"September 15, 2021",2003,TV-14,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,99.0,
54,1,InuYasha the Movie 4: Fire on the Mystic Island,Japan,"September 15, 2021",2004,TV-PG,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",88.0,
55,1,InuYasha the Movie: Affections Touching Across Time,Japan,"September 15, 2021",2001,TV-PG,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",100.0,
56,2,Nailed It,United States,"September 15, 2021",2021,TV-PG,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",,6.0
57,1,Naruto Shippuden the Movie: Blood Prison,Japan,"September 15, 2021",2011,TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",102.0,
58,1,Naruto Shippûden the Movie: Bonds,Japan,"September 15, 2021",2008,TV-PG,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",93.0,
59,1,Naruto Shippûden the Movie: The Will of Fire,Japan,"September 15, 2021",2009,TV-PG,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",96.0,
60,1,Naruto Shippuden: The Movie,Japan,"September 15, 2021",2007,TV-PG,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",95.0,
61,1,Naruto Shippuden: The Movie: The Lost Tower,Japan,"September 15, 2021",2010,TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",85.0,
62,1,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,"September 15, 2021",2005,TV-PG,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",97.0,
63,1,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,"September 15, 2021",2006,TV-PG,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",95.0,
64,1,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,"September 15, 2021",2004,TV-PG,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",83.0,
65,1,Nightbooks,,"September 15, 2021",2021,TV-PG,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,103.0,
66,2,Numberblocks,United Kingdom,"September 15, 2021",2021,TV-Y,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",,6.0
67,2,Raja Rasoi Aur Anya Kahaniyan,India,"September 15, 2021",2014,TV-G,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",,
68,2,Saved by the Bell,United States,"September 15, 2021",1994,TV-PG,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",,9.0
69,1,Schumacher,,"September 15, 2021",2021,TV-14,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",113.0,
70,2,Stories by Rabindranath Tagore,India,"September 15, 2021",2015,TV-PG,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,,
71,2,Too Hot To Handle: Latino,,"September 15, 2021",2021,TV-MA,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",,
72,1,A StoryBots Space Adventure,,"September 14, 2021",2021,TV-Y,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,13.0,
73,2,Jack Whitehall: Travels with My Father,United Kingdom,"September 14, 2021",2021,TV-MA,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",,5.0
74,1,King of Boys,Nigeria,"September 14, 2021",2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",182.0,
75,2,The World's Most Amazing Vacation Rentals,,"September 14, 2021",2021,TV-PG,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",,2.0
76,1,You vs. Wild: Out Cold,,"September 14, 2021",2021,TV-G,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",106.0,
77,2,Yowamushi Pedal,Japan,"September 14, 2021",2013,TV-14,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",,
78,1,Little Singham - Black Shadow,,"September 11, 2021",2021,TV-Y7,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,48.0,
79,1,Tughlaq Durbar,,"September 11, 2021",2020,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,145.0,
80,1,Tughlaq Durbar (Telugu),,"September 11, 2021",2021,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,145.0,
81,1,Firedrake the Silver Dragon,,"September 10, 2021",2021,TV-Y7,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",93.0,
82,1,Kate,United States,"September 10, 2021",2021,R,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",106.0,
83,2,Lucifer,United States,"September 10, 2021",2021,TV-14,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",,6.0
84,2,Metal Shop Masters,,"September 10, 2021",2021,TV-MA,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",,
85,1,Omo Ghetto: the Saga,Nigeria,"September 10, 2021",2020,TV-MA,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",147.0,
86,2,Pokémon Master Journeys: The Series,,"September 10, 2021",2021,TV-Y7,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",,
87,1,Prey,,"September 10, 2021",2021,TV-MA,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,87.0,
88,2,Titipo Titipo,,"September 10, 2021",2019,TV-Y,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,,2.0
89,1,Blood Brothers: Malcolm X & Muhammad Ali,,"September 9, 2021",2021,PG-13,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",96.0,
90,2,Mighty Raju,,"September 9, 2021",2017,TV-Y7,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",,4.0
91,1,Paradise Hills,"Spain, United States","September 9, 2021",2019,TV-MA,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",95.0,
92,1,The Women and the Murderer,France,"September 9, 2021",2021,TV-14,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,92.0,
93,2,Into the Night,Belgium,"September 8, 2021",2021,TV-MA,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,,2.0
