title,type,country,release_year,cosine_similarity
End Game,Movie,United States,2018,0.16093785926294005
The Soul,Movie,"China, Taiwan",2021,0.14365732814422655
Moon,Movie,"United Kingdom, United States",2009,0.13671507452465828
The Cloverfield Paradox,Movie,United States,2018,0.12770321766287868
The Death and Life of Marsha P. Johnson,Movie,"Greece, United States",2017,0.12367831777755632
Kazoops!,TV Show,Australia,2017,0.11687788863571333
Alelí,Movie,"Uruguay, Argentina",2019,0.1156267030241463
Secrets in the Hot Spring,Movie,Taiwan,2018,0.11392207114440875
Tere Naal Love Ho Gaya,Movie,India,2012,0.1135333546069438
Kannum Kannum Kollaiyadithaal,Movie,India,2020,0.11107621311813771
